comune_ubicazione;denom_struttura;desc;desc_long;indirizzo;logo;num_telefono;mail;sito_web;pagina_arcigay;facebook;twitter;instagram;youtube;other_links
Ancona;Arcigay Comunitas Ancona, Comitato Territoriale Arcigay;L’Associazione ha lo scopo di promuovere, tutelare e valorizzare i diritti umani e civili di tutta la comunità LGBTI*.;;Via Armando Seppilli, 4, 60128 Ancona AN, Italia;https://www.arcigay.it/wp-content/uploads/2019/11/logo-nuovo-arcigay-ancona.jpg;3711434283;;https://arcigayancona.it/;https://www.arcigay.it/ancona/#.X_CAIS1aZsM;https://www.facebook.com/comunitasaps;https://www.twitter.com/ArcigayAncona;;;
Aosta;Arcigay Valle d'Aosta Queer VdA, Comitato Territoriale Arcigay;Arcigay VdA Queer VdA è un'associazione che nasce in Valle D'Aosta per lottare contro le discriminazioni, in particolare quelle verso la comunità LGBTQ+.;;;https://www.arcigay.it/wp-content/uploads/2016/07/Logo-Arcigay-Queer-VdA.jpeg;375 503 4728;aosta@arcigay.it;;https://www.arcigay.it/aosta/;https://www.facebook.com/arcigayqueervda/;;;;https://docs.google.com/forms/d/e/1FAIpQLScfM2E08L0YAvQ5wYGdOrz_rVWB1nfd43GvqyawQxOrH4MxaQ/viewform
Arezzo;"Arcigay Arezzo ""Chimera Arcobaleno, Comitato territoriale Arcigay";“Chimera Arcobaleno” è un’associazione di promozione sociale nata nel dicembre 2009 per affermare la piena realizzazione e visibilità delle persone gay, lesbiche, bisessuali e transgender della provincia di Arezzo, con l’obiettivo di contrastare omo-bi-transfobia, pregiudizi, discriminazioni e violenza in ogni loro forma. Nell’ottobre 2010 diventa ufficialmente Comitato territoriale Arcigay, entrando nel network della maggiore associazione LGBTI italiana. Da quel momento il numero di volontari e volontarie è in costante crescita, così come le iniziative e i progetti realizzati, Chimera Arcobaleno collabora in maniera stabile con le istituzioni locali e varie associazioni del territorio, promuovendo iniziative al fine di costruire una società solidale, laica e democratica in cui i diritti umani e civili siano riconosciuti, promossi e garantiti senza discriminazioni fondate sull’orientamento sessuale, l’identità di genere e ogni altra condizione personale e sociale.;;Via G. Garibaldi, 135, Arezzo, AR, Italia;https://www.arcigay.it/wp-content/uploads/arcigayarezzo.png;3426456231;arezzo@arcigay.it;https://www.chimerarcobaleno.org/;https://www.arcigay.it/arezzo/;http://www.facebook.com/chimeraarcobaleno.arcigayarezzo/;;;;
Asti;Love is Love, Associazione Aderente Arcigay;Love is Love nasce con l'intento di essere il riferimento nella provincia di Asti per le persone LGBTQIE, diventando anche Affiliata Arcigay. Il nostro obiettivo è quello di fare informazione e di combattere le discriminazioni sessuali che sono purtroppo ancora presenti nella nostra comunità. Teniamo uno sportello d'ascolto per coloro che volessero approcciarsi a questa realtà, anche in totale anonimato. Organizziamo eventi culturali creando luoghi d'incontro per conoscersi e scambiarsi opinioni. Siamo aperti ad ogni tipo di collaborazione con altre associazioni, scuole e privati. Contattateci sulla pagina o mandate un'email a loveislove.asti@gmail.com per qualsiasi informazione o richiesta.;;Via Roero, 49, Asti, AT, Italia;;;loveislove.asti@gmail.com;https://loveisloveasti.wordpress.com/;https://www.arcigay.it/asti/;https://www.facebook.com/Love-is-Love-Associazione-LGBT-Asti-258771297660682/;;;;
Bari;"Arcigay Bari ""L'arcobaleno del Levante, Comitato territoriale Arcigay";Arcigay Bari è un'associazione che promuove l'uguaglianza e i diritti LGBTQ, lotta contro l'omofobia e le forme di razzismo.;;Piazza San Pietro, 22, Bari, BA, Italia;;;bari@arcigay.it;https://www.arcigay.it/bari/;https://www.arcigay.it/bari/;http://www.facebook.com/Arcigay-Bari-342760739138287/;;;;
Barletta – Andria – Trani;"Arcigay Bat ""Le Mine Vaganti, Comitato territoriale Arcigay";Circolo territoriale della sesta provincia pugliese per la promozione sociale e la cultura LGBTQI. info: bat@arcigay.it;;Via Umberto I, 273 Trani;https://www.arcigay.it/wp-content/uploads/2016/08/Logo_Arcigay_BAT.jpg;;bat@arcigay.it;https://www.arcigaybat.it/;https://www.arcigay.it/barletta/;http://www.facebook.com/arcigaybat/;;;;
Bergamo;Arcigay Bergamo “Cives, Comitato territoriale Arcigay;Cives nasce nel 2009 a Bergamo per reazione alla campagna omofobica montata per contrastare l’iniziativa legislativa sull’istituzione dei PACS. Arcigay Cives crede in una società laica e democratica in cui le libertà individuali e i diritti umani e civili siano riconosciuti, promossi e garantiti senza discriminazioni fondate sull’orientamento sessuale, l’identità di genere e ogni altra condizione personale e sociale e in cui la personalità di ogni individuo possa realizzarsi in un contesto di pace e di sereno rapporto con l’ambiente sociale e naturale. ;;Via Borgo Palazzo, 130, Bergamo, BG, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/14671301_1213454852046800_1106901552280533049_n.jpg?_nc_cat=108&ccb=2&_nc_sid=09cbfe&_nc_ohc=ffWSLyEdaTwAX_Aeq3E&_nc_ht=scontent-mxp1-1.xx&oh=4378b3da55c4239830b4b41351c3888b&oe=602403FF;347 8664745;info@arcigaybergamo.it;http://www.arcigaybergamo.it/;https://www.arcigay.it/bergamo/;http://www.facebook.com/cives.bergamo, https://www.facebook.com/arcigaygiovaniBG/;https://www.twitter.com/arcigaybg_cives;;;
Bologna;Cassero LGBT Center, Comitato territoriale Arcigay;Il Cassero LGBTI+ Center è un circolo politico impegnato nel riconoscimento dei diritti delle persone LGBTI+, uno spazio culturale che progetta e realizza rassegne artistiche e attività di aggregazione sociale e di intrattenimento.;Il Cassero LGBTI+ center è il comitato provinciale Arcigay di Bologna, un circolo politico impegnato nel riconoscimento dei diritti delle persone trans* lesbiche e gay, uno spazio culturale che progetta e realizza rassegne artistiche e attività di aggregazione sociale e di intrattenimento, un laboratorio attivo nello sviluppo di servizi dedicati al benessere e alla tutela della nostra comunità. Il Cassero affonda la sue radici nel Collettivo Frocialista, formatosi a Bologna nel 1977 all’interno dei movimenti studenteschi. Nel 1979 nasce il “Circolo di cultura omosessuale 28 giugno” che nel giugno del 1982 riceve dal Comune di Bologna la sede di Porta Saragozza, primo caso in Italia di un’amministrazione comunale che riconosce l’importanza e la progettualità di una realtà associativa gay e lesbica. Nel 1985 promuove la nascita dell’associazione nazionale Arcigay, cui aderisce assumendo la denominazione di Circolo Arigay Il Cassero. Il 2 marzo del 2002 firma una convenzione con il Comune di Bologna, ricevendo la nuova e attuale sede, la Salara, posta all’interno della Manifattura delle Arti, crocevia delle esperienze della Cineteca di Bologna, dei Dipartimenti di Musica e Spettacolo e di Scienze della Comunicazione dell’Università di Bologna, e del Mambo, il Museo d’Arte Moderna di Bologna.;Via Don Giovanni Minzoni, Bologna, BO, Italia;https://www.arcigay.it/wp-content/uploads/2016/11/cassero_logo_2013_O_color1.jpg;051 09 57 200;info@cassero.it;http://www.cassero.it/;https://www.arcigay.it/bologna/;https://www.facebook.com/casserolgbticenter/;;;;
Bolzano;Centaurus Arcigay dell'Alto Adige Südtirol, Comitato territoriale Arcigay;CENTAURUS - Südtiroler Arcigay Landeskomitee - Comitato Arcigay dell'Alto Adige;"Gruppo di CENTAURUS: Esiste un gruppo di Centaurus su Facebook. Il gruppo viene utilizzato come chat e per lo scambio di informazioni su eventi ecc..  “CENTAURUS - Gay e Lesbiche dell'Alto Adige"" si pone come punto di riferimento per le donne e gli uomini omo- e bisessuali e le persone trans- ed intersessuali del Sudtirolo. ";Via G. Galilei, 4/a, 39100 Bolzano BZ, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/60342092_2218746751709489_7206204315160018944_n.png?_nc_cat=107&ccb=2&_nc_sid=09cbfe&_nc_ohc=JOLCkcdSV8oAX99-GqT&_nc_ht=scontent-mxp1-1.xx&oh=54efd5d337f70605512396a51a3fc466&oe=6024BECD;0471 976342;info@centaurus.org;https://www.centaurus.org/;https://www.arcigay.it/bolzano/;https://www.facebook.com/centauruslgbti/;;http://instagram.com/centaurusbz;;https://www.paypal.com/paypalme/arcigaycentaurus
Brescia;Arcigay Brescia “Orlando, Comitato territoriale Arcigay;Siamo un'associazione di promozione sociale con sede a Brescia e ci battiamo a favore dei diritti delle persone lesbiche, gay, bisessuali, transessuali e intersessuali della città e della provincia di Brescia e non solo.;Arcigay Orlando Brescia è stata fondata nel 1994 e da quel momento lottiamo per combattere nella società il pregiudizio e la discriminazione verso le persone LGBTQIA+*. Noi di Orlando ci impegniamo perché siano garantite le pari opportunità e la pari dignità tra le persone, indipendentemente dal loro orientamento sessuale.;Via Valerio Paitone, 42, Brescia, 25122 BS, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/137680048_4039754482725886_5046146298428615494_o.jpg?_nc_cat=103&ccb=2&_nc_sid=09cbfe&_nc_ohc=Z8dWgMwAxBMAX8aoGnI&_nc_ht=scontent-mxp1-1.xx&oh=7813362a353e181089885180c816d2e2&oe=60276FC6;379 145 6774;brescia@arcigay.it;http://www.arcigaybrescia.it/;https://www.arcigay.it/brescia/;https://www.facebook.com/ArcigayOrlandoBrescia/, https://www.facebook.com/groups/155778387820601/;https://www.twitter.com/ArcigayBrescia;;;
