Nome;Tipo;Address;region;Contacts;reservation;Referente;work_hours;last_updated;tests;ratings;keywords
OSPEDALE CLINICIZZATO COLLE DELL'ARA - CHIETI V LIVELLO - CORPO L ;Clinica di Malattie infettive ;Via dei Vestini ;Chieti - CH ;Telefono: 0871/358683 Fax: 0871/357490 ;;Dott.ssa Francesca Vignale;Lun: 08:00 - 14:00 Mar: 08:00 - 14:00	              Mer: 08:00 - 14:00 Gio: 08:00 - 14:00	Ven: 08:00 - 14:00 Sab: 08:00 - 14:00				;Dati aggiornati al 25/03/2019;HIV;;
POLICLINICO SS. ANNUNZIATA ;Servizio Immunotrasfusionale Ospedaliero Aziendale ;Via dei Vestini ;Chieti - CH ;Telefono: 0871358249       Fax: 0871358201 ;;Dott.ssa Patrizia Di Gregorio;Lun: 08:00 - 14:00 Mar: 08:00 - 14:00	              Mer: 08:00 - 14:00 Gio: 08:00 - 14:00	Ven: 08:00 - 14:00 Sab: 08:00 - 14:00				;Dati aggiornati al 28/10/2020;HIV;;
AZIENDA OSPEDALIERA 02 LANCIANO- VASTO - CHIETI - OSPEDALE CIVILE ;U.O.S.D (Unità Operativa Semplice Dipartimentale) Malattie Infettive ;Via S.Camillo de Lellis ;Vasto - CH ;Telefono: 0873308253 - Fax: 0873308239 ;;Dott.ssa Maria Pina Sciotti;Lun: 08:00 - 10:30 Mar: 08:00 - 10:30	              Mer: 08:00 - 10:30 Gio: 08:00 - 10:30	Ven: 08:00 - 10:30 Sab: 08:00 - 10:30				;Dati aggiornati al 11/12/2020;HIV;;
AZIENDA OSPEDALIERA AVEZZANO SULMONA L'AQUILA - OSPEDALE S.S. FILIPPO E NICOLA ;Unità Operativa Complessa di Malattie Infettive ;Via G. Di Vittorio ;Avezzano - AQ ;Telefono: 0863499298 Fax: 0863499428 ;Accesso libero;Dott.ssa Rinalda Mariani - Dott.ssa Margherita D'Alessandro;Lun: 08:00 - 20:00 Mar: 08:00 - 20:00	              Mer: 08:00 - 20:00 Gio: 08:00 - 20:00	Ven: 08:00 - 20:00 Sab: 08:00 - 18:00				;Dati aggiornati al 13/03/2019;HIV;;
OSPEDALE SS. FILIPPO E NICOLA AVEZZANO ;U.O.C. Patologia clinica ;Via G. di Vittorio ;Avezzano - AQ ;Telefono: 0863499466-0863499370 ;;Referente: Dott.ssa Mazzocco Barbara;Lun: 08:00 - 10:30 Mar: 08:00 - 10:30	              Mer: 08:00 - 10:30 Gio: 08:00 - 10:30	Ven: 08:00 - 10:30 Sab: 08:00 - 10:30				;Dati aggiornati al 28/03/2019;HIV;;
OSPEDALE S. SALVATORE ;Unità Operativa Complessa Malattie Infettive ;Via Giuseppe Petrini, Coppito, L'Aquila, 67100 ;L'Aquila - AQ ;Telefono: 0862 368274 Fax: 0862368321 ;;Referente: Dott. Antonio Cellini;Lun: 08:00 - 13:30 Mar: 08:00 - 13:30	              Mer: 08:00 - 13:30 Gio: 08:00 - 13:30	Ven: 08:00 - 13:30				;Dati aggiornati al 14/10/2020;HIV;;
ASL 5 PESCARA SERVIZIO PER LA CURA DELLE DIPENDENZE c/o OSPEDALE CIVILE ;Ser.D. ;Via Monte Faito ;Pescara - PE ;Telefono: 0854253490 ;Accesso diretto;Referente: Dott.ssa Francesca Lucini;Lun: 08:00 - 13:00 Mar: 08:00 - 13:00 -15:00 - 17:00	              Mer: 08:00 - 13:00 Gio: 08:00 - 13:00 - 15:00 - 17:00	Ven: 08:00 - 13:00				;Dati aggiornati al 13/11/2020;HIV;;
OSPEDALE CIVILE DELLO SPIRITO SANTO ;U.O.C. di Microbiologia e Virologia Clinica ;Via Fonte Romana, 8 ;Pescara - PE ;Telefono: 085/4252806 ;;Referente: Dott. Paolo Fazi;Lun: 07:30 - 09:30 Mar: 07:30 - 09:30	              Mer: 07:30 - 09:30 Gio: 07:30 - 09:30	Ven: 07:30 - 09:30 Sab: 07:30 - 09:30				;Dati aggiornati al 05/08/2019;HIV;;
OSPEDALE CIVILE SANTO SPIRITO ;Unità Operativa Complessa Malattie Infettive ;Via Fonte Romana, 8 ;Pescara - PE ;Telefono: 085-4252436 ;;Dott.ssa Federica;Lun: 08:00 - 14:00 Mar: 08:00 - 14:00	              Mer: 08:00 - 14:00 Gio: 08:00 - 14:00	Ven: 08:00 - 14:00	Sab: 08:00 - 14:00 Dom: 08:00 - 14:00			;Dati aggiornati al 05/11/2020;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
;;;;;;;;;HIV;;
