nome,struttura,indirizzo,telefono,fax,referente,accesso,orario/lunedì/0,orario/lunedì/1,orario/martedì/0,orario/martedì/1,orario/mercoledì/0,orario/mercoledì/1,orario/giovedì/0,orario/giovedì/1,orario/venerdì/0,orario/venerdì/1,verificato/nome,verificato/link,last_updated,orario/mercoledì/2,orario/mercoledì/3,orario/lunedì/2,orario/lunedì/3,orario/martedì/2,orario/martedì/3,orario/giovedì/2,orario/giovedì/3,orario/venerdì/2,orario/venerdì/3,orario/giovedì/4,orario/sabato/0,orario/sabato/1,orario/lunedì/4,orario/martedì/4,orario/mercoledì/4,orario/venerdì/4,orario/sabato/2
AZIENDA OSPEDALIERA SAN CARLO, Ambulatorio di Dermatologia ,"Via Potito Petrone, 1 Potenza - PZ ", 0971613511 , 0971613159 , Piccirillo Angelo , ,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 08/01/2020 ,,,,,,,,,,,,,,,,,,
ASP CATANZARO UO DERMATOLOGIA e MST - OSPEDALE GIOVANNI PAOLO II, Ambulatorio - Edificio Piastra - Piano terra ,Via Senatore Arturo Perugini Lamezia Terme - CZ , 0968208829 ,, Larussa Filippo Mariaa , ,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 14/09/2017 ,16:00,17:00,,,,,,,,,,,,,,,,
OSPEDALE MARIANO SANTO - A.O. DI COSENZA - U.O.C. DI DERMATOLOGIA, Ambulatorio di Dermatologia Contrada Muoio Piccolo Cosenza - CS ,, 0984681789 , 0984681782 , eugenio provenzano , ,09:00,13:00,09:00,13:00,09:30,13:00,09:30,19:00,09:30,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 09/12/2019 ,16:30,19:00,16:00,19:00,16:30,19:00,16:30,19:00,16:30,19:00,,,,,,,,
AZIENDA OSPEDALIERA UNIVERSITARIA FEDERICO II, Dermatologia Dipartimento di Medicina Clinica e Chirurgia - Edificio 10 ,Via Sergio Pansini 5 Napoli - NA , 0817462450 ,, Martellotta Donata , ,,,15:00,18:00,,,09:00,13:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 16/11/2020 ,,,,,,,,,,,,,,,,,,
OSPEDALE SAN GENNARO DEI POVERI, U.O. di Dermatologia ,Piazza San Gennaro dei Poveri Napoli - NA , 0812545199 , 0812545199 , Mozzillo Raffaele , ,,,,,,,09:00,11:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 17/11/2020 ,,,,,,,previa prenotazione CUP,,,,,,,,,,,
CENTRO MTS - DERMATOLOGIA - POLICLINICO UNIVERSITARIO S. ORSOLA MALPIGHI, Clinica Dermatologica - Ambulatorio IST - Padiglione 29 ,"Via Massarenti, 1 Bologna - BO ",,, GASPARI VALERIA , ,07:45,11:00,07:45,11:00,07:45,11:00,07:45,11:00,07:45,11:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 11/02/2020 ,dalle 7.45 - idem,,dalle 7.45 fino a smaltimento dei pz accettati entro le 11.00,,dalle 7.45- idem,,dalle 7.45 - idem,,dalle 7.45 - idem,,,,,,,,,
"UO di Ostetricia e Medicina dell'Età Prenatale, Policlinico Sant'Orsola Malpighi", Ambulatorio ,Via Massarenti 13 Bologna - BO ,, 0516363710 ,, ,,,09:00,14:00,,,09:00,14:00,,,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 09/12/2020 ,,,,,"prelievi, consulenze , ecografie",,prelievi,,,,,,,,,,,
AZIENDA OSPEDALIERA Univ. Ferrara- Clinica Dermatologica," U.O. di Dermatologia, amb. 9 ","Via ALDO MORO, 8 Ferrara - FE ", 0532.236244 ,,, ,08:30,12:00,08:30,12:00,08:30,12:00,08:30,12:00,08:30,12:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 21/11/2017 ,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,Su prenotazione e accesso diretto,,,,,,,,,
Azienda USL Romagna Ospedale Bufalini Servizio Malattie Infettive, Ambulatorio Infettivologico ,Viale Ghirotti 286 Cesena - FC , 0547352705 ,, Dott.ssa Carmela Grosso , ,07:30,13:00,07:30,13:00,07:30,13:00,07:30,13:00,07:30,13:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 09/12/2019 ,,,,,,,,,,,,,,,,,,
OSPEDALE G.B. MORGAGNI - AUSL ROMAGNA, Ambulatorio MTS - Padiglione Morgani piano terra ,Via Forlanini 34 Forlì - FC , 0543735021 ,, Parente Gianluca , ,07:30,08:00,07:30,08:00,07:30,08:00,07:30,08:00,07:30,08:00,Uniti contro l'AIDS,https://www.uniticontrolaids.it/aids-ist/test/dove.aspx, Dati aggiornati al 30/01/2020 ,18:00,19:00,18:00,19:00,18:00,19:00,18:00,19:00,18:00,19:00,,,,,,,,
