centro,nome,tipo,indirizzo,telefono,mod_prenotazione,orario,counseling,referto,responsabile_update,verificato/nome,verificato/link,orario_telefono,note
Centro test e Counselling,AOU Policlinico di Modena,Ambulatorio Malattie Infettive,"Via del Pozzo,71 - Modena(MO)",059 4222120,Telefonica al 059 4222120 o 059 4222827 durante la sola emergenza COVID 19,Dal lunedì al venerdì - Ore 10: 00 - 12: 00,Pre - TestPost - Test,Dopo 4 - 5 giorni,Silvana Borsari - Coordinatore Gruppo provinciale AIDS Modena,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,Azienda USL di Modena,SERT,"Via L.Smerieri, 3 - Mirandola(MO)",0535 602434,Telefonica,Dal lunedì al venerdì - Ore 8:00-9:00,Pre - TestPost - Test,Dopo 2 - 3 giorni,Silvana Borsari - Coordinatore Gruppo provinciale AIDS Modena,HelpAIDS,http://www.helpaids.it/dove,dal lunedì al venerdì – ore 8:30-13:00,Counselling alla consegna del referto
Centro test e Counselling,Azienda USL di Modena,SERT,"Via Molinari,2 - Carpi(MO)",059 659921,Telefonica,Dal lunedì al venerdì - Ore 8:00-9:00,Pre - TestPost - Test,Dopo 2 - 3 giorni,Silvana Borsari - Coordinatore Gruppo provinciale AIDS Modena,HelpAIDS,http://www.helpaids.it/dove,dal lunedì al venerdì – ore 8:30-13:00,Attività sospesa a MARZO 2020 per la popolazione generale non per TDCounselling alla consegna del referto
Centro test e Counselling,Azienda USL di Piacenza,"Presidio Ospedaliero G.da Saliceto, Ambulatorio di Malattie Infettive","Via Cantone del Cristo, 1 - Piacenza(PC)",verde Aids 800 856 080,Accesso diretto -,Lunedì e venerdì ore 9.00-16.00. Mercoledì ore 9.00-14.00,Pre - TestPost - Test,Dopo 2 - 3 giorni,Alessandro Ruggieri - Coordinatore gruppo provinciale AIDS Piacenza,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,AOU Parma,Ambulatorio Malattie Infettive Torre 1 delle Medicine(2° piano),vi a Gramsci 14 - Parma(PR),,Accesso diretto,Dal lunedì al venerdì - Ore 10:00-12:00,Pre - TestPost - Test,Dopo 3 giorni,Anna Degli Antoni - U.O.Malattie Infettive - Parma,HelpAIDS,http://www.helpaids.it/dove,,Counselling al momento del prelievo e alla consegna del referto
Centro test e Counselling,Azienda USL di Parma,SERT,Via dei Mercati 15 / b - Parma(PR),0521 393136(centralino),Accesso diretto,,Pre - TestPost - Test,Dopo 4 - 5 giorni,Commissione interaziendale HIV - Parma,HelpAIDS,http://www.helpaids.it/dove,dal lunedì al venerdì – ore 9:30-13:00,
Centro test e Counselling,Azienda USL di Parma,SERT,"Via Suor Maria, 3 - Colorno(PR)",0521 316726,Accesso diretto,,Pre - TestPost - Test,Dopo 4 - 5 giorni,Commissione interaziendale HIV - Parma,HelpAIDS,http://www.helpaids.it/dove,Lunedì e Venerdì ore 8.30-13.00; Mercoledì ore 8.30-12,
Centro test e Counselling,Azienda USL di Parma,SERT,via Roma 42 / 1 - Langhirano(PR),0521 865113,Accesso diretto,"giovedì mattina dalle 8 alle 9,30",Pre - TestPost - Test,Dopo 7 - 9 giorni,Commissione interaziendale HIV - Parma,HelpAIDS,http://www.helpaids.it/dove,dal lunedì al venerdì – ore 8:30-13:30,non viene effettuato il test in anonimato
Centro test e Counselling,Azienda USL di Parma,SERT,via Benefattori 1 - Borgotaro(PR),0525 970330,accesso con prenotazione,"lunedì e venerdì dalle 8,30-10,30",Pre - TestPost - Test,Dopo 3 - 4 giorni,Commissione interaziendale HIV - Parma,HelpAIDS,http://www.helpaids.it/dove,Lunedì e Venerdì ore 8.00-13.00,
Centro test e Counselling,Azienda USL della Romagna,Ospedale S.Maria delle Croci Day Hospital Malattie Infettive,VIA MISSIROLI 10 - Ravenna(RA),verde Aids 800 856 080,Accesso diretto -,Lunedì e sabato ore 8.00-13.00,Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinatore gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,Prelievo su prenotazione
Centro test e Counselling,Azienda USL della Romagna,SERT RAVENNA,via Missiroli 16 - Ravenna(RA),0544 287251,Accesso diretto,"Martedì, Mercoledì, Venerdì ore 8.00-9.00",Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,"Lu 8-13 e 14,30-18 _Ma e Gio 10-13 e 14,30-18_ Me e Ve 8-13 _Sa 8 - 12 - C 'è un risponditore",
Centro test e Counselling,Azienda USL della Romagna,Presidio Ospedaliero Ambulatorio di Malattie Infettive FAENZA,"Viale Stradone, 9 - Faenza(RA)",0541 601324,telefonica allo 0546 601324,Lunedì - sabato,Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,Prelievo e counselling
Centro test e Counselling,Azienda USL della Romagna,SERT,via Zaccagnini 22 1° piano ingresso B - Faenza(RA),0546 602420,su appuntamento previa telefonata al servizio,,Pre - Test Post - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,da lunedi a venerdì 8-13 sabato 8-12,
Centro test e Counselling,Azienda USL della Romagna,SERT Lugo,"Via Bosi, 32 - Lugo(RA)",verde Aids 800 856 080,Accesso diretto -,Lunedì e venerdì ore 8.00-9.00,Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,"Lunedì-mercoledi -giovedi-venerdì 8.00-13.30 Martedì 8-9 e 14, 30 - 17, 30 Sabato 8 - 12. C 'è un risponditore",
Centro test e Counselling,Azienda USL della Romagna,Ospedale Nuovo Morgagni - Pierantoni Ambulatorio Malattie Infettive,"Viale Forlanini, 34 Vecchiazzano - Forlì(FC)",verde Aids 800 856 080,Accesso diretto -,Lunedì e Sabato ore 8.00-10.30,Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,Azienda USL della Romagna,SERT Forlì,via Orto del Fuoco 10 - Forlì(FC),0543 733475,Accesso diretto,"dal lunedì al sabato 0re 7,30-10",Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,"da lunedì a venerdi 8,30-13,00 sabato 8,30-12",
Centro test e Counselling,Azienda USL della Romagna,Ospedale BUFALINI Ambulatorio - Day Hospital Mal.Infettive,Viale Ghirotti 286 - Cesena(FC),0547 352705,Accesso diretto,Lunedì e Sabato ore 7.30-11.30,Pre - TestPost - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,Azienda USL della Romagna,Ospedale Infermi Day Hospital Malattie Infettive,"Via Settembrini, 2 - Rimini(RN)",0541 705356,Accesso diretto,Da Lunedì a sabato ore 9.00-11.00,Pre - Test Post - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,Azienda USL della Romagna,SERT Riccione,"Via Sardegna, 9 - Riccione(RN)",0541 668101,Accesso diretto previo appuntamento telefonico allo 0541 668101 nei giorni feriali dalle ore 8.00 alle ore 12.30,,Pre - Test Post - Test,2 gg lavorativi se negativo,Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,Azienda USL di Bologna,"Ospedale Maggiore, Laboratorio analisi(1° piano)","Largo Nigrisoli, 2 - Bologna(BO)",verde Aids 800 856 080,Accesso diretto -,Lunedì e venerdì ore 7.30-8.30,Pre - TestPost - Test,Dopo 7 giorni,Coordinamento gruppo provinciale AIDS Bologna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,"Azienda Ospedaliera Universitaria di Bologna, Policlinico Sant'Orsola-Malpighi",Padiglione Palagi 1 Terzo piano,Via Palagi 9 - Bologna(BO),051 2142801,"Accesso diretto o telefonando allo 051 2142801 dalle 10 alle 13, 30","Dalle 10,00 alle 13,30",Pre - Test Post - Test,Dopo 4 - 7 giorni,Vincenzo Colangeli - Coordinatore gruppo provinciale AIDS Bologna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,"Azienda Ospedaliera Universitaria di Bologna, Policlinico Sant'Orsola-Malpighi",Unità Operativa Malattie Infettive,"Via Massarenti, 11 - Bologna(BO)",051 2143355 - di persona portineria Pad .6,,Dal lunedì al venerdì - Ore 10:00-12:00,Pre - Test Post - Test,Dopo 7 giorni,Vincenzo Colangeli - Coordinatore gruppo provinciale AIDS Bologna,HelpAIDS,http://www.helpaids.it/dove,ore 8.00-13.00,Tempo prenotazione circa 3-7 giorni - non è anonimo
Centro test e Counselling,Nuovo Ospedale Sant'Anna di Cona,Ambulatorio Malattie Infettive Ingresso 2 - Settore 1E0,Via Aldo Moro 8 - Cona(FE),0532 236472 - 239710,Telefonica dalle 8 alle 14 - mail: infohiv @ospfe.it,da lunedì a venerdì prelievi ore 8.30-11.00; visite ore 9.30 - 12.30,Pre - Test Post - Test,Dopo 2 giorni,Laura Sighinolfi - Coordinatore gruppo provinciale AIDS Ferrara,HelpAIDS,http://www.helpaids.it/dove,,Il servizio viene erogato su richiesta diretta dell'utente
Centro test e Counselling,Azienda USL di Reggio Emilia,Spazio Sessualità e Salute c / o Padiglione Malattie Infettive ASMN,Vle Risorgimento 80 - Reggio Emilia(RE),0522296456 - 0522296823,prenotazione telefonica da Lunedì a Sabato ore 10 - 12.30;Lunedì e Giovedì ore 15 - 17,da Lunedì a sabato ore 9.00-11.30; Lunedì e Giovedì ore 14.00 - 17.00,Pre - Test Post - Test,Dopo almeno 3 giorni,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,Da Lunedì a Sabato ore 10-12.30; Lunedì e Giovedì ore 15-17,"Possibilità del test HIV in anonimato. Possibilità di effettuare test per Sifilide, HBV, HCV ed HAV(se fattori di rischio)"
Centro test e Counselling,Azienda USL di Reggio Emilia,Centro per la Salute della Famiglia Straniera,Poliambulatori AUSL di Via Monte S.Michele n .8 / A - Reggio Emilia(RE),0522 335580,Accesso Diretto,Mercoledi ore 14.00-17.00 Venerdi ore 9-12,Pre - Test Post - Test,Dopo 3 giorni,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,Lunedi sabato ore 8.30-12.30,"Possibilità del test HIV in anonimato Possibilità di effettuare test per Sifilide, HBV, HCV ed HAV(se fattori di rischio"
Centro test e Counselling,Azienda USL di Reggio Emilia,SERTPadiglione Tanzi,"Via Amendola, 2 - Reggio Emilia(RE)",0522 335569,Accesso diretto,lun-sab 8.30-12.00 mar chiuso,Pre - TestPost - Test,Dopo 30 minuti,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-ven 8.30-13.30 sab 12.30,Test rapido capillare (arrivare mezz'ora prima della chiusura per attendere risultato test)
Centro test e Counselling,Azienda USL di Reggio Emilia,SERT Ambulatorio Bassa Soglia Reggio Emilia,"via Bocconi, 2 / 4 - Reggio Emilia(RE)",0522 335059,Accesso diretto,lun-sab 8.30-12.00 mar chiuso,Pre - TestPost - Test,Dopo 30 minuti,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-ven 8.30-13.30 sab 12.30,Test rapido capillare (arrivare mezz'ora prima della chiusura per attendere risultato test)
Centro test e Counselling,Azienda USL di Reggio Emilia,SERT,"Via Roma, 125 / b - Castelnovo né Monti(RE)",0522 617177,Accesso diretto,lun-sab 8.30-13.30,Pre - Test Post - Test,"Dopo 7 giorni, consegnati lun, mer, ven 8.30 - 13.30",Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-sab 8.30-13.00,Impegnativa per prelievo ad accesso diretto al centro prelievi di Castelnovo ne ' Monti
Centro test e Counselling,Azienda USL di Reggio Emilia,SERT,"Via Vallisneri, 41 - Scandiano(RE)",0522 850385 - 0522 850402,"Accesso diretto per test rapido capillare, .Appuntamento telefonico per prelievo ematico",test capillare: lun-ven 8.30-9.30 e 10.30-13.30 sab 8.30-12.45 Prelievo ematico: giov 8.30 - 9.30 e 10.30 - 13.30,Pre - Test Post - Test,Test rapido capillare: 30 minuti.Test su sangue: dopo 7 giorni,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-ven 8.30-13.30 sab 8.30-12.45,Per test rapido capillare arrivare mezz'ora prima della chiusura per attendere risultato test
Centro test e Counselling,Azienda USL di Reggio Emilia,SERT,"Via Campagnola, 2 - Correggio(RE)",0522 630220 - 0522 630222,Appuntamento telefonico,lun-ven 8.30-09.15,Pre - Test Post - Test,"Dopo 7 giorni, consegnato mar, mer, ven ore 9.00 - 13.00",Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-ven 8.30-13.30 gio 14.30-17.00 sab 8.30-13.00,
