nome,indirizzo,tipo_struttura,legal,cellulare,email,orario_servizi,referente/0,servizi/0/nome,servizi/0/figure_presenti,servizi/0/costo,servizi/0/tempistiche,servizi/1/nome,servizi/1/figure_presenti,servizi/1/costo,servizi/1/tempistiche,linee_guida,regione,referente/1,referente/2,servizi/1/servizi_offerti,servizi/2/nome,servizi/2/figure_presenti,servizi/2/costo,servizi/2/tempistiche,servizi/3/nome,servizi/3/figure_presenti,servizi/3/costo,servizi/3/tempistiche,servizi/4/nome,servizi/4/figure_presenti,servizi/4/costo,servizi/4/tempistiche,note
Arcigay EOS Cosenza,"Cosenza (CS), Corso Telesio, 98",Associazione di settore,Privato,342 7774054,cosenza@arcigay.it,su appuntamento,Silvio Cilento,Supporto psicologico/di psicoterapia,Psicologo,"Primo incontro gratuito, successivi a 45,00 €",3/5 giorni,Altro supporto medico specialistico,Logopedista,30€,1 settimana,ONIG,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Campania,,,,,,,,,,,,,,,,
Antinoo Arcigay Napoli ,"Napoli(NA) - Vico San Geronimo, 17 ",Associazione di settore,Privato,392 1155735,direttivo@arcigaynapoli.org,su appuntamento,Daniela Lourdes Falanga,Supporto psicologico/di psicoterapia,Psicologo,"Gratuito per 4 incontri, successivi 30 € a seduta",1 settimana,Supporto/consulenza legale,,Gratuito. Gratuito patrocinio se in possesso dei requisiti,3 giorni,WPATH,,Francesco Gardillo,Mara Bianca Mano,Supporto legale alla transizione di genere,Supporto/consulenza legale,Supporto legale contro le discriminazioni basate sull'identità di genere,Gratuito. Gratuito patrocinio se in possesso dei requisiti,3 giorni,Supporto/consulenza legale,Supporto legale in ambito lavorativo,Gratuito. Gratuito patrocinio se in possesso dei requisiti,3 giorni,Supporto/consulenza legale,Supporto legale in ambito sanitario,Gratuito. Gratuito patrocinio se in possesso dei requisiti,3 giorni,"Lo sportello trans è convenzionato con l’AOU Federico II per prestazioni psicologiche ed endocrinologiche. Lo sportello è convenzionato con il Centro di Ateneo SInAPSi e il “Consultorio Incontra” gratuito per persone trans nell’ambito dell’ASL Napoli 3 sud. Sono presenti in sede operatori/trici alla pari formati che forniscono servizi alla persona (accoglienza, punti di informazione e orientamento, sportello di ascolto e help line di supporto telefonico). Si effettua un servizio di sostegno per le persone trans negli istituti di detenzione. Ulteriori servizi: Sportello migranti LGBT - ascolto, supporto in commissione territoriale, accompagnamento presso strutture socio-sanitarie. Accompagnamento presso servizi pubblici peculiari ai bisogni della persona. Empowerment mirato al rafforzamento dell’autostima delle persone trans per l’acquisizione di consapevolezze atte a definire un percorso di sostanziale rivendicazione dei propri diritti."
Associazione Transessuale Napoli - ATN,"Napoli (NA) - Piazza E. De Nicola, 46 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centro di Andrologia e Medicina della Riproduzione e delle Sessualità Maschile e Femminile, Dipartimento di Medicina Clinica e Chirurgia, AOU Federico II","Napoli (NA) - Via Sergio Pansini, 5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consultorio Familiare - ASL Napoli 1 Centro ,"Napoli(NA) - Via Egiziaca a Forcella, 16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i Ken APS ONLUS PJ Rainbow Center Napoli - Questa casa non è un Albergo,"Napoli (NA) - Via Antonio Genovesi, 36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i Ken APS ONLUS PJ Rainbow Center Napoli - Sportello i Ken - CGIL Na Nuovi diritti,"Napoli (NA) - Via Toledo, 353 (stanza 218) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unità Operativa Complessa di Psichiatria e Psicologia, Area Clinica Disforia di Genere, DAI Testa - Collo, AOU Federico II ","Napoli(NA) - Via Sergio Pansini, 5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consultorio InConTra,"Portici (NA) - Corso Garibaldi, 45/B ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pride Vesuvio Rainbow,"Torre Annunziata (NA) - Via Fusco, 1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consultorio DIG - Disforia di Genere ,"Salerno(SA) - Corso Garibaldi, 3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Emilia Romagna ,,,,,,,,,,,,,,,,
Arcigay - APS ,"Bologna(BO) - Via Don Minzoni,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associazione Gruppo Trans ,"Bologna(BO) - Via Marconi, 18 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT Movimento Identità Trans ,"Bologna(BO) - Via Polese,22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policlinico S.Orsola Malpighi ,"Bologna(BO) - Via Giuseppe Massarenti,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Voice Center, Unità Operativa ORL,Ospedale Maurizio Bufalini,Cesena ","Cesena(FC) - Viale Giovanni Ghirotti, 286 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcigay Modena Matthew Shepard ,"Modena(MO) - Via IV Novembre, 40 / A ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Friuli Venezia Giulia,,,,,,,,,,,,,,,,
"Ambulatorio Pediatrico per la Varianza di Genere (APeVaGe), Istituto per l' Infanzia IRCCS Burlo Garofalo ","Trieste(TS) - Via dell 'Istria, 65/1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centro Disforia di Genere, Azienda Sanitaria Universitaria Giuliano Isontina(ASU GI)","Trieste(TS) - Strada di Fiume, 447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centro interdipartimentale disforia di genere(CeDiG), Clinica Psichiatrica, Azienda Sanitaria Universitaria Giuliano Isontina(ASU GI) ","Trieste(TS) - Via De Pastrovich, 3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOC Endocrinologia, Malattie del Metabolismo e Nutrizione Clinica, Azienda Sanitaria Universitaria Integrata Friuli Centrale ","Udine(UD) - Piazzale S.M.Misericordia, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lazio,,,,,,,,,,,,,,,,
