id,nome,indirizzo,orario,telefono,sito_web,commenti,forum,posizione/type,posizione/coordinate/0,posizione/coordinate/1,verificato/nome,verificato/link,description,Orari di apertura,Orario, telefono,Orario di visita,e-mail
nLMaea8, Farmacia Beato Angelico," Piazza Francesco Guardi 15, 20133 Milano (MI)", lun-sab 08:30-13:00 15:00-19:30 dom Chiuso, 0270108283,," (2018) Ho chiesto una pillola del giorno dopo e me l'hanno data subito, offrendomi un bicchiere d'acqua per prenderla senza aspettare oltre. Aggiungo che vedendomi un po' sconsolata mi hanno regalato una crema mani omaggio.",,Point,9.227254986763002,45.47050702153723,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
T1Eghq5, Farmacia Cidonio Dr. Adelaide," Via Tuscolana, 285, 00181 Roma"," lun-sab 08:30-13:00, 16:00-
                                       19:30", 06 782 4078,," ""Nonostante avessi la ricetta per la pillola del giorno dopo, la farmacista ha sviato il discorso iniziando a farmi domande sul mio ciclo, cui mi sono rifiutata di rispondere; ha comunque cercato di convincermi che il rischio che si instaurasse una gravidanza era basso. Ho dovuto alzare la voce per ottenerla.""",,Point,12.52640426158905,41.87649525174846,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
IocRgHY," Farmacia di Corticella,"," Via Genuzio Bentini, 37, 40128 Bologna BO","  da lunedì a venerdì 8.30-19.30
sabato: 8.30-12-30
domenica: 9.30- 12.30", 051 705478, https://farmaciadicorticella.com/," Segnalazione del 2019. La farmacista è stata molto comprensiva, ha dato la pillola dopo aver chiesto l'età e ha anche dato consigli sull'assunzione",,Point,11.356655359268188,44.54657143307973,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
xvA1Ucq, Farmacia Nobile," Via Rossi Pellegrino 3, 54100 Marina di Massa, Massa (MS)", lun-mar ven-sab 8:30-13:00	15:30-19:30 mer 8:30-22:00 gio-dom Chiuso, 0585240071, http://www.farmacianobile.com/, (2017) Dal sopralluogo effettuato dal collettivo femminista Kira Amelia Lalli di Massa è emerso che la farmacia non è obiettrice e fornisce l'accesso alla pillola del giorno dopo.,,Point,10.099675655364992,44.00931460151741,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
VU8pr6n, Farmacia Nobile," Via Rossi Pellegrino 3, 54100 Marina di Massa, Massa (MS)", lun-mar ven-sab 8:30-13:00	15:30-19:30 mer 8:30-22:00 gio-dom Chiuso, 0585240071, http://www.farmacianobile.com/, (2017) Dal sopralluogo effettuato dal collettivo femminista Kira Amelia Lalli di Massa è emerso che la farmacia non è obiettrice e fornisce l'accesso alla pillola del giorno dopo.,,Point,10.099675655364992,44.00931460151741,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
zGgTSOa, Farmacia Pez," Via Belluno 57, 32032 Feltre (BL)", lun-ven 08:45-12:30 15:30-19:0 sab 08:45-12:30 dom Chiuso , 043983486, ," Mi ci sono recata per prendere la pillola del giorno dopo. Il farmacista è stato molto gentile, mi ha spiegato la normativa e risposto a tutti i miei dubbi sui metodi di assunzione e le interazioni con altri farmaci.",,Point,11.924393177032472,46.024561699486526,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
afazUa8, Farmacia Ponte Dattaro," Strada Montanara 23, 43124 Parma (PR)", lun-ven 8:30-19:30 sab 8:30-13:00 15:30-19:30 dom Chiuso, 0521964011, https://www.farmaciaparma.it/, (2019) [N.d.R. Una farmacista ed una tirocinante che lavorano all'interno della struttura sostiene che nel 2020 viene fornita la pillola del giorno dopo richiedendo solo la carta d'identità.] Mi sono recata presso la farmacia per acquistare la pillola del giorno dopo a seguito della rottura di un preservativo avvenuta durante un rapporto con il mio partner. Una delle farmaciste mi ha chiesto più volte e insistentemente di vedere una prescrizione medica e un test di gravidanza. Al mio rifiuto mi ha consegnato la pillola facendo battute poco simpatiche sul suo costo e sulla poca intelligenza dei “giovani” che non usano precauzioni (NOTA: ero più che maggiorenne).,,Point,10.318490266799929,44.781195357637934,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
tIARppc, Farmacia Serafini," Via Vincenzo Malenchini 1, 57014 Collesalvetti (LI)", lun-sab 9:00-13:00 16:00-20:00 mar-dom Chiuso, 0586962001, http://www.farmaciaserafini.it/, Mi ha fornito la contraccezione d'emergenza senza problemi.,,Point,10.473570227622988,43.58836445384707,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
NDAuTqt,Antica Farmacia dei Servi," Strada Maggiore 39, 40125 Bologna (BO)", lun-ven 08:30-12:30 15:30-19:30 sab-dom Chiuso, 051231638,, (2018) Era aperta di domenica ed ho chiamato prima per chiedere se avessero la pillola del giorno dopo. Mi hanno detto di venire a prenderla il prima possibile. Sono stati molto disponibili e non hanno fatto domande indiscrete. Quando sono stata lì sono stati cordiali e sorridenti mettendomi a mio agio.,,Point,11.351559162139894,44.49216602876595,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
v5qO759,Antica Farmacia Giusti," Via Gabriele D'Annunzio 1, 90144 Palermo (PA)", lun-sab  8:30-13:30 16:00-20:30 dom 8:30-13:30 20:30-8:30, 091309076, http://www.anticafarmaciagiusti.it/," (2019) Ho acquistato senza problemi la pillola dei 5 giorni dopo, Ellaone. La farmacista (una ragazza giovane) mi ha solo chiesto il documento d'identità e la tessera sanitaria. Mi ha anche spiegato come prenderla. Una mia amica ci lavora comunque e da quello che mi racconta non sono obiettori. ",,Point,13.345593810081484,38.1385902610013,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
