Anno;Codice Regione;Descrizione Regione;Codice ASL territoriale;Codice Azienda;Denominazione Azienda;Codice struttura;Denominazione struttura;Tipo rapporto con il S.S.N.;Indirizzo;CAP;Codice Comune;Comune;Sigla provincia;num_telefono;sito_web
2019;010;PIEMONTE;203;203;TO3;040074;P.G. CONSULTORIO GIOVANI - COL;Pubblico;VIA ANTICA DI GRUGLIASCO 1/B;10093;001090;COLLEGNO;TO;0117803749;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040078;P.G. CONSULTORIO ADOLESCENTI -;Pubblico;STRADA RIVALTA 14;10043;001171;ORBASSANO;TO;0110587998;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040079;CONSULTORIO M.I. E PEDIATRICO;Privato accreditato;VIA LANZA TIZIANO 52;10095;001120;GRUGLIASCO;TO;0114017616;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040083;CONSULTORIO M.I. E PEDIATRICO-;Privato accreditato;VIA TORINO 1;10093;001090;COLLEGNO;TO;0114017853;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040089;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA PONSATI VINCENZO 67;10040;001315;VOLVERA;TO;0119857843;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040090;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA TORINO 62;10045;001194;PIOSSASCO;TO;0119068448;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040091;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA ORBASSANO 4;10092;001024;BEINASCO;TO;0113583584;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040093;CONSULTORIO M.I. E PEDIATRICO;Pubblico;PIAZZA DALLA CHIESA CARLO ALBE;10043;001171;ORBASSANO;TO;0119036480;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040096;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA BALMA CANDIDO 5;10040;001214;RIVALTA DI TORINO;TO;0119091565;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040098;CONSULTORIO PEDIATRICO - BRUIN;Pubblico;VIALE DEI TIGLI 68;10090;001038;BRUINO;TO;0119085526;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040107;CONSULTORIO M.I. E PEDIATRICO;Privato accreditato;VIA MONTE PIRCHIRIANO 5;10051;001013;AVIGLIANA;TO;0119325317;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040108;CONSULTORIO M.I. E PEDIATRICO;Privato accreditato;CORSO TORINO 37;10056;001175;OULX;TO;0122621506;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040109;CONSULTORIO M.I. E PEDIATRICO;Privato accreditato;PIAZZA VITTORIO VENETO 10;10055;001093;CONDOVE;TO;0119760881;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040125;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA SILVA LELIO 8;10078;001292;VENARIA REALE;TO;0114991233;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040128;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA MORANDI ROBERTO 7;10040;001099;DRUENTO;TO;0119846633;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040129;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA IV NOVEMBRE 20;10044;001189;PIANEZZA;TO;0119670502;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040239;CONSULTORIO M.I.E GIOVANI - LU;Pubblico;VIA VOLTA ALESSANDRO 9;10062;001139;LUSERNA SAN GIOVANNI;TO;0121235562;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040240;CONSULTORIO M.I - BRICHERASIO;Pubblico;VIA ASSIETTA 3;10060;001035;BRICHERASIO;TO;012159770;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040243;CONSULTORIO M.I.E PEDIATRICO -;Pubblico;VIA BERTI DOMENICO 10;10040;001097;CUMIANA;TO;0121235903;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040245;CONSULTORIO M.I. - VILLAR PERO;Pubblico;PIAZZA CENTENARIO UNITA' D'ITA;10069;001307;VILLAR PEROSA;TO;012151073;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040248;CONSULTORIO M.I. - VILLAFRANCA;Pubblico;VIA SAN SEBASTIANO 28;10068;001300;VILLAFRANCA PIEMONTE;TO;0119807489;WWW.ASLTO3.PIEMONTE.IT
