cod_asl;cod_struttura;denom_struttura;indirizzo_ubicazione;cod_istat_comune_ubicazione;comune_ubicazione;prov_comune_ubicazione;denom_gestore;p_iva;indirizzo_sede_legale;cod_istat_comune_sede_legale;comune_sede_legale;prov_sede_legale;natura_giuridica;pubblica_privata;onlus;wgs84_x;wgs84_y;location/latitude;location/longitude;location/human_address;:@computed_region_6hky_swhk;:@computed_region_ttgh_9sm5
321;002419;NOA BARANZATE;VIA PRIMO MAGGIO  30;015250;BARANZATE;MI;ASST RHODENSE;09323530965;VIALE CARLO FORLANINI 95;015105;GARBAGNATE MILANESE;MI;ASST;PUBBLICO;NO;9.11729096;45.52402295;45.52402295;9.11729096;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
321;002548;SERT ROZZANO;VIA MATTEOTTI  30;015189;ROZZANO;MI;ASST MELEGNANO E DELLA MARTESANA;09320650964;VIA PANDINA 1;015244;VIZZOLO PREDABISSI;MI;ASST;PUBBLICO;NO;9.14498639;45.37635345;45.37635345;9.14498639;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
322;002683;SERT SEDE EROGATIVA TOSSICODIPENDENZE;VIA NAZARIO SAURO  2;013010;APPIANO GENTILE;CO;ASST LARIANA;03622110132;VIA NAPOLEONA 60;013075;COMO;CO;ASST;PUBBLICO;NO;8.98034769;45.733702;45.733702;8.98034769;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";2;2
323;002897;SER.T DISTRETTO DI MORBEGNO;VIA MARTINELLI  13;014045;MORBEGNO;SO;ASST DELLA VALTELLINA E DELL'ALTO LARIO;00988090148;VIA STELVIO 25;014061;SONDRIO;SO;ASST;PUBBLICO;NO;9.57175853;46.13622424;46.13622424;9.57175853;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";3;3
328;003548;U.O.S SER.T VIGEVANO;VIA TRIESTE  23;018177;VIGEVANO;PV;ASST DI PAVIA;02613080189;VIALE DELLA REPUBBLICA 34;018110;PAVIA;PV;ASST;PUBBLICO;NO;8.85640709;45.32285759;45.32285759;8.85640709;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";7;7
324;003044;CENTRO TRATTAMENTO TABAGISMO;VIA SOLFERINO  16;108033;MONZA;MB;ASST DI MONZA;09314290967;VIA GIOVANNI BATTISTA PERGOLESI 33;108033;MONZA;MB;ASST;PUBBLICO;NO;9.26605235;45.57776664;45.57776664;9.26605235;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";12;12
324;003035;SER.T LIMBIATE;VIA MONTE GRAPPA  40;108027;LIMBIATE;MB;ASST DI MONZA;09314290967;VIA GIOVANNI BATTISTA PERGOLESI 33;108033;MONZA;MB;ASST;PUBBLICO;NO;9.12568681;45.61499189;45.61499189;9.12568681;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";12;12
321;003580;SERT FORZE ARMATE;VIA DELLE FORZE ARMATE  381;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.09274037;45.46083061;45.46083061;9.09274037;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
327;003405;STRUTTURA COMPLESSA SERT;VIA POSTUMIA  23/G;019036;CREMONA;CR;ASST DI CREMONA;01629400191;VIALE CONCORDIA 1;019036;CREMONA;CR;ASST;PUBBLICO;NO;10.04317761;45.135168;45.135168;10.04317761;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";8;8
321;004807;SERT BOIFAVA;VIA PIETRO BOIFAVA  25;015146;MILANO;MI;ATS DELLA CITTÀ METROPOLITANA DI MILANO;09320520969;CORSO ITALIA 19;015146;MILANO;MI;ATS;PUBBLICO;NO;9.176667;45.42695655;45.42695655;9.176667;"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}";4;4
